treatment,evalPeriod,usertoken,task1,task2,net
density,10,5LdZf9d2,0.8716969999999999,0.797702,-0.074
density,10,7oAfixKC,0.995022,0.945692,-0.049
density,10,B2HV6UdE,0.995022,0.8716969999999999,-0.123
density,10,benynrvy,0.674377,0.797702,0.123
density,10,CiXTsREp,0.935826,0.560918,-0.375
density,10,CTij7KI0,0.585583,0.935826,0.35
density,10,ebn3H4dp,0.797702,0.797702,0
density,10,GbheV3mJ,0.501722,0.748372,0.247
density,10,IhtyQEo6,0.847032,0.600382,-0.247
density,10,irBodiNR,0.6990419999999999,0.6990419999999999,0
density,10,J68xlxT0,0.797702,0.6990419999999999,-0.099
density,10,jmulOEyq,0.600382,0.797702,0.197
density,10,jWrAFb7o,0.896362,0.847032,-0.049
density,10,NoAbJ9SC,0.847032,0.797702,-0.049
density,10,s4Q3qpf8,0.595449,0.847032,0.252
density,10,T7HR6iyi,0.585583,0.9703569999999999,0.385
density,10,ulloPKoy,0.896362,0.995022,0.099
density,10,VrORzmC3,0.896362,0.945692,0.049
density,10,Wx6qtrFR,0.995022,0.995022,0
density,10,xCjrtzRP,0.945692,0.595449,-0.35
density,10,ybFQHjKq,0.797702,0.748372,-0.049
density,15,5LdZf9d2,0.995022,0.995022,0
density,15,7oAfixKC,0.995022,0.995022,0
density,15,B2HV6UdE,0.995022,0.896362,-0.099
density,15,benynrvy,0.797702,0.847032,0.049
density,15,CiXTsREp,0.590516,0.541186,-0.049
density,15,CTij7KI0,0.955558,0.536253,-0.419
density,15,ebn3H4dp,0.797702,0.773037,-0.025
density,15,GbheV3mJ,0.995022,0.748372,-0.247
density,15,IhtyQEo6,0.896362,0.6497120000000001,-0.247
density,15,irBodiNR,0.8125009999999999,0.6990419999999999,-0.113
density,15,J68xlxT0,0.847032,0.6497120000000001,-0.197
density,15,jmulOEyq,0.797702,0.797702,0
density,15,jWrAFb7o,0.995022,0.896362,-0.099
density,15,NoAbJ9SC,0.995022,0.748372,-0.247
density,15,s4Q3qpf8,0.921027,0.847032,-0.074
density,15,T7HR6iyi,0.600382,0.575717,-0.025
density,15,ulloPKoy,0.995022,0.625047,-0.37
density,15,VrORzmC3,0.995022,0.896362,-0.099
density,15,Wx6qtrFR,0.995022,0.995022,0
density,15,xCjrtzRP,0.58065,0.565851,-0.015
density,15,ybFQHjKq,0.847032,0.797702,-0.049
density,20,5LdZf9d2,0.501722,0.847032,0.345
density,20,7oAfixKC,0.995022,0.625047,-0.37
density,20,B2HV6UdE,0.995022,0.995022,0
density,20,benynrvy,0.797702,0.6497120000000001,-0.148
density,20,CiXTsREp,0.960491,0.921027,-0.039
density,20,CTij7KI0,0.595449,0.935826,0.34
density,20,ebn3H4dp,0.8716969999999999,0.797702,-0.074
density,20,GbheV3mJ,0.9703569999999999,0.797702,-0.173
density,20,IhtyQEo6,0.8223670000000001,0.674377,-0.148
density,20,irBodiNR,0.694109,0.600382,-0.094
density,20,J68xlxT0,0.748372,0.748372,0
density,20,jmulOEyq,0.896362,0.600382,-0.296
density,20,jWrAFb7o,0.9703569999999999,0.896362,-0.074
density,20,NoAbJ9SC,0.9703569999999999,0.847032,-0.123
density,20,s4Q3qpf8,0.58065,0.797702,0.217
density,20,T7HR6iyi,0.960491,0.575717,-0.385
density,20,ulloPKoy,0.995022,0.896362,-0.099
density,20,VrORzmC3,0.995022,0.945692,-0.049
density,20,Wx6qtrFR,0.995022,0.501722,-0.493
density,20,xCjrtzRP,0.674377,0.575717,-0.099
density,20,ybFQHjKq,0.847032,0.748372,-0.099
density,25,5LdZf9d2,0.995022,0.847032,-0.148
density,25,7oAfixKC,0.995022,0.995022,0
density,25,B2HV6UdE,0.995022,0.995022,0
density,25,benynrvy,0.847032,0.748372,-0.099
density,25,CiXTsREp,0.610248,0.960491,0.35
density,25,CTij7KI0,0.955558,0.945692,-0.01
density,25,ebn3H4dp,0.896362,0.797702,-0.099
density,25,GbheV3mJ,0.9703569999999999,0.797702,-0.173
density,25,IhtyQEo6,0.896362,0.6990419999999999,-0.197
density,25,irBodiNR,0.659578,0.575717,-0.084
density,25,J68xlxT0,0.797702,0.748372,-0.049
density,25,jmulOEyq,0.945692,0.773037,-0.173
density,25,jWrAFb7o,0.990089,0.896362,-0.094
density,25,NoAbJ9SC,0.921027,0.748372,-0.173
density,25,s4Q3qpf8,0.625047,0.748372,0.123
density,25,T7HR6iyi,0.610248,0.565851,-0.044
density,25,ulloPKoy,0.995022,0.896362,-0.099
density,25,VrORzmC3,0.995022,0.995022,0
density,25,Wx6qtrFR,0.995022,0.748372,-0.247
density,25,xCjrtzRP,0.955558,0.590516,-0.365
density,25,ybFQHjKq,0.748372,0.6990419999999999,-0.049
density,30,5LdZf9d2,0.995022,0.995022,0
density,30,7oAfixKC,0.995022,0.995022,0
density,30,B2HV6UdE,0.995022,0.945692,-0.049
density,30,benynrvy,0.847032,0.748372,-0.099
density,30,CiXTsREp,0.659578,0.546119,-0.113
density,30,CTij7KI0,0.955558,0.541186,-0.414
density,30,ebn3H4dp,0.896362,0.6497120000000001,-0.247
density,30,GbheV3mJ,0.995022,0.551052,-0.444
density,30,IhtyQEo6,0.847032,0.6990419999999999,-0.148
density,30,irBodiNR,0.817434,0.748372,-0.069
density,30,J68xlxT0,0.797702,0.797702,0
density,30,jmulOEyq,0.896362,0.847032,-0.049
density,30,jWrAFb7o,0.995022,0.847032,-0.148
density,30,NoAbJ9SC,0.995022,0.847032,-0.148
density,30,s4Q3qpf8,0.847032,0.6497120000000001,-0.197
density,30,T7HR6iyi,0.590516,0.551052,-0.039
density,30,ulloPKoy,0.995022,0.6990419999999999,-0.296
density,30,VrORzmC3,0.995022,0.995022,0
density,30,Wx6qtrFR,0.995022,0.995022,0
density,30,xCjrtzRP,0.960491,0.565851,-0.395
density,30,ybFQHjKq,0.748372,0.6990419999999999,-0.049
dotplot,1,39ZWzf76,0.723707,0.600382,-0.123
dotplot,1,3HTa4C3w,0.837166,0.9851559999999999,0.148
dotplot,1,3Vuu6iKT,0.501722,0.748372,0.247
dotplot,1,651zZLZY,0.600382,0.6497120000000001,0.049
dotplot,1,990j0a1g,0.837166,0.9851559999999999,0.148
dotplot,1,9guVNGGC,0.847032,0.896362,0.049
dotplot,1,9WnJN1l8,0.625047,0.748372,0.123
dotplot,1,a0v0gmBS,0.748372,0.916094,0.168
dotplot,1,BdNwuYY3,0.6497120000000001,0.501722,-0.148
dotplot,1,biD53yQS,0.600382,0.501722,-0.099
dotplot,1,Es5ER1YT,0.748372,0.748372,0
dotplot,1,Ezv2ERqp,0.560918,0.92596,0.365
dotplot,1,FCqfkdPd,0.501722,0.8223670000000001,0.321
dotplot,1,HYZzEL2u,0.551052,0.600382,0.049
dotplot,1,KJtTnWx0,0.6990419999999999,0.797702,0.099
dotplot,1,kNKuLFG1,0.625047,0.896362,0.271
dotplot,1,lNOCYGhO,0.575717,0.847032,0.271
dotplot,1,LxXewOKB,0.674377,0.773037,0.099
dotplot,1,M45OaFvP,0.575717,0.526387,-0.049
dotplot,1,n0Sc4wcz,0.995022,0.501722,-0.493
dotplot,1,n2ToGPvU,0.797702,0.797702,0
dotplot,1,oUs9Mfce,0.847032,0.551052,-0.296
dotplot,1,pTQ62b0l,0.797702,0.748372,-0.049
dotplot,1,qEtWBV4q,0.748372,0.748372,0
dotplot,1,qjKh7UVK,0.916094,0.506655,-0.409
dotplot,1,qrOdbxJw,0.501722,0.501722,0
dotplot,1,rcY6S9oO,0.995022,0.8716969999999999,-0.123
dotplot,1,VdYpbJUh,0.995022,0.995022,0
dotplot,1,xjaSiYlq,0.6990419999999999,0.560918,-0.138
dotplot,5,39ZWzf76,0.748372,0.6990419999999999,-0.049
dotplot,5,3HTa4C3w,0.615181,0.9703569999999999,0.355
dotplot,5,3Vuu6iKT,0.748372,0.6497120000000001,-0.099
dotplot,5,651zZLZY,0.9703569999999999,0.8716969999999999,-0.099
dotplot,5,990j0a1g,0.615181,0.526387,-0.089
dotplot,5,9guVNGGC,0.847032,0.6497120000000001,-0.197
dotplot,5,9WnJN1l8,0.8716969999999999,0.625047,-0.247
dotplot,5,a0v0gmBS,0.995022,0.748372,-0.247
dotplot,5,BdNwuYY3,0.896362,0.6497120000000001,-0.247
dotplot,5,biD53yQS,0.945692,0.797702,-0.148
dotplot,5,Es5ER1YT,0.995022,0.575717,-0.419
dotplot,5,Ezv2ERqp,0.935826,0.570784,-0.365
dotplot,5,FCqfkdPd,0.8716969999999999,0.674377,-0.197
dotplot,5,HYZzEL2u,0.600382,0.945692,0.345
dotplot,5,KJtTnWx0,0.748372,0.8223670000000001,0.074
dotplot,5,kNKuLFG1,0.896362,0.6497120000000001,-0.247
dotplot,5,lNOCYGhO,0.600382,0.674377,0.074
dotplot,5,LxXewOKB,0.837166,0.6497120000000001,-0.187
dotplot,5,M45OaFvP,0.501722,0.501722,0
dotplot,5,n0Sc4wcz,0.995022,0.501722,-0.493
dotplot,5,n2ToGPvU,0.8716969999999999,0.6990419999999999,-0.173
dotplot,5,oUs9Mfce,0.797702,0.797702,0
dotplot,5,pTQ62b0l,0.945692,0.847032,-0.099
dotplot,5,qEtWBV4q,0.8716969999999999,0.625047,-0.247
dotplot,5,qjKh7UVK,0.555985,0.9703569999999999,0.414
dotplot,5,qrOdbxJw,0.748372,0.501722,-0.247
dotplot,5,rcY6S9oO,0.995022,0.625047,-0.37
dotplot,5,VdYpbJUh,0.995022,0.995022,0
dotplot,5,xjaSiYlq,0.748372,0.748372,0
dotplot,10,39ZWzf76,0.896362,0.600382,-0.296
dotplot,10,3HTa4C3w,0.945692,0.526387,-0.419
dotplot,10,3Vuu6iKT,0.8716969999999999,0.748372,-0.123
dotplot,10,651zZLZY,0.945692,0.995022,0.049
dotplot,10,990j0a1g,0.58065,0.516521,-0.064
dotplot,10,9guVNGGC,0.945692,0.896362,-0.049
dotplot,10,9WnJN1l8,0.8716969999999999,0.995022,0.123
dotplot,10,a0v0gmBS,0.995022,0.501722,-0.493
dotplot,10,BdNwuYY3,0.847032,0.847032,0
dotplot,10,biD53yQS,0.995022,0.945692,-0.049
dotplot,10,Es5ER1YT,0.995022,0.896362,-0.099
dotplot,10,Ezv2ERqp,0.930893,0.911161,-0.02
dotplot,10,FCqfkdPd,0.847032,0.8223670000000001,-0.025
dotplot,10,HYZzEL2u,0.600382,0.748372,0.148
dotplot,10,KJtTnWx0,0.600382,0.847032,0.247
dotplot,10,kNKuLFG1,0.6990419999999999,0.955558,0.257
dotplot,10,lNOCYGhO,0.551052,0.748372,0.197
dotplot,10,LxXewOKB,0.8223670000000001,0.723707,-0.099
dotplot,10,M45OaFvP,0.995022,0.773037,-0.222
dotplot,10,n0Sc4wcz,0.995022,0.501722,-0.493
dotplot,10,n2ToGPvU,0.797702,0.847032,0.049
dotplot,10,oUs9Mfce,0.797702,0.6497120000000001,-0.148
dotplot,10,pTQ62b0l,0.995022,0.995022,0
dotplot,10,qEtWBV4q,0.8716969999999999,0.8716969999999999,0
dotplot,10,qjKh7UVK,0.546119,0.9654240000000001,0.419
dotplot,10,qrOdbxJw,0.501722,0.501722,0
dotplot,10,rcY6S9oO,0.995022,0.995022,0
dotplot,10,VdYpbJUh,0.995022,0.995022,0
dotplot,10,xjaSiYlq,0.896362,0.600382,-0.296
dotplot,15,39ZWzf76,0.847032,0.6990419999999999,-0.148
dotplot,15,3HTa4C3w,0.950625,0.97529,0.025
dotplot,15,3Vuu6iKT,0.995022,0.551052,-0.444
dotplot,15,651zZLZY,0.995022,0.995022,0
dotplot,15,990j0a1g,0.600382,0.526387,-0.074
dotplot,15,9guVNGGC,0.9703569999999999,0.921027,-0.049
dotplot,15,9WnJN1l8,0.995022,0.896362,-0.099
dotplot,15,a0v0gmBS,0.995022,0.995022,0
dotplot,15,BdNwuYY3,0.995022,0.995022,0
dotplot,15,biD53yQS,0.995022,0.551052,-0.444
dotplot,15,Es5ER1YT,0.995022,0.847032,-0.148
dotplot,15,Ezv2ERqp,0.921027,0.921027,0
dotplot,15,FCqfkdPd,0.995022,0.501722,-0.493
dotplot,15,HYZzEL2u,0.6990419999999999,0.674377,-0.025
dotplot,15,KJtTnWx0,0.945692,0.625047,-0.321
dotplot,15,kNKuLFG1,0.8223670000000001,0.921027,0.099
dotplot,15,lNOCYGhO,0.995022,0.748372,-0.247
dotplot,15,LxXewOKB,0.945692,0.768104,-0.178
dotplot,15,M45OaFvP,0.921027,0.600382,-0.321
dotplot,15,n0Sc4wcz,0.995022,0.6990419999999999,-0.296
dotplot,15,n2ToGPvU,0.896362,0.847032,-0.049
dotplot,15,oUs9Mfce,0.797702,0.797702,0
dotplot,15,pTQ62b0l,0.995022,0.896362,-0.099
dotplot,15,qEtWBV4q,0.995022,0.921027,-0.074
dotplot,15,qjKh7UVK,0.551052,0.516521,-0.035
dotplot,15,qrOdbxJw,0.995022,0.501722,-0.493
dotplot,15,rcY6S9oO,0.995022,0.995022,0
dotplot,15,VdYpbJUh,0.995022,0.995022,0
dotplot,15,xjaSiYlq,0.748372,0.551052,-0.197
dotplot,20,39ZWzf76,0.748372,0.847032,0.099
dotplot,20,3HTa4C3w,0.595449,0.9851559999999999,0.39
dotplot,20,3Vuu6iKT,0.8716969999999999,0.575717,-0.296
dotplot,20,651zZLZY,0.995022,0.921027,-0.074
dotplot,20,990j0a1g,0.58065,0.9703569999999999,0.39
dotplot,20,9guVNGGC,0.995022,0.945692,-0.049
dotplot,20,9WnJN1l8,0.945692,0.945692,0
dotplot,20,a0v0gmBS,0.995022,0.995022,0
dotplot,20,BdNwuYY3,0.896362,0.995022,0.099
dotplot,20,biD53yQS,0.995022,0.6990419999999999,-0.296
dotplot,20,Es5ER1YT,0.995022,0.797702,-0.197
dotplot,20,Ezv2ERqp,0.58065,0.930893,0.35
dotplot,20,FCqfkdPd,0.945692,0.995022,0.049
dotplot,20,HYZzEL2u,0.6990419999999999,0.6990419999999999,0
