usertoken,total_incentives,paid,mturker
ayPyXGjo,0.95,Yes,non-master
CWm8UHdR,1.85,Yes,non-master
ERx33R94,1.90,Yes,non-master
Fk9KAr2Z,1.6,Yes,non-master
HJs83Q8g,1.8,Yes,non-master
HMvodXiB,1,Yes,non-master
i1ThzWu9,2.1,Yes,non-master
KJtTnWx0,1.2,Yes,non-master
KWDgbGm4,2.1,Yes,non-master
L7SBxoYt,1.55,Yes,non-master
M2wTjbSE,1.8,Yes,non-master
n0Sc4wcz,1.1,Yes,non-master
n2ToGPvU,1.95,Yes,non-master
pTQ62b0l,2.1,Yes,non-master
qEtWBV4q,1.35,Yes,non-master
rvf4nZOP,0.7,Yes,non-master
tQDYxZ81,2.15,Yes,non-master
tvLQoi4G,1.55,Yes,non-master
UJcVd2TG,2.15,Yes,non-master
UjjJWjHQ,1.40,Yes,non-master
yVncI91m,2.05,Yes,non-master
f2gacKfC,0.3,Yes,non-master
6bPeDxK2,1.25,Yes,non-master
7EoLeJB8,2,Yes,non-master
7oAfixKC,1.1,Yes,non-master
8ObNrSLP,1.85,Yes,non-master
9ELOvUK7,1.5,Yes,non-master
bvD5GSTE,1.65,Yes,non-master
EQKY3iUK,1,Yes,non-master
F9sXiaez,2.1,Yes,non-master
g1VQzaaH,1.8,Yes,non-master
I4DYQ30E,2.35,Yes,non-master
J68xlxT0,1.25,Yes,non-master
JMDomgiz,1.35,Yes,non-master
MDgpushP,1.5,Yes,non-master
N1Sd7DgS,1.55,Yes,non-master
UQAmhepQ,1.85,Yes,non-master
WpvHJU0u,1.35,Yes,non-master
xDD5eppb,1.40,Yes,non-master
