trial,allocationLeft,allocationRight,left,time,task,evalPeriod,stockAllocation,n_trial,usertoken,treatment,dv,eval_period_normalized
1,0,100,bonds,2021-03-12T22:32:36Z,task1,30,100,2,qNJkISBa,point,0.995022,0.5
1,100,0,stocks,2021-03-13T00:50:11Z,task1,30,100,2,ffFn1C1O,table,0.995022,0.5
1,25,75,bonds,2021-03-13T01:24:20Z,task1,1,75,2,9nvPuyHc,barchart,0.8716969999999999,-0.4666666666666667
1,30,70,bonds,2021-03-13T03:53:42Z,task1,30,70,2,HzdeT56F,hopsdist,0.847032,0.5
1,70,30,stocks,2021-03-13T03:50:58Z,task1,30,70,2,rxdroOug,interval,0.847032,0.5
2,0,100,bonds,2021-03-09T15:35:04Z,task1,15,100,3,ihzwQryH,table,0.995022,0
2,0,100,bonds,2021-03-09T16:01:30Z,task1,20,100,3,sZIP7Kj7,barchart,0.995022,0.16666666666666669
2,20,80,bonds,2021-03-09T20:49:05Z,task1,20,80,3,nsyZVKPE,hopsdist,0.896362,0.16666666666666669
2,100,0,stocks,2021-03-09T21:10:37Z,task1,25,100,3,SFBRic3a,density,0.995022,0.33333333333333337
2,0,100,bonds,2021-03-10T02:32:14Z,task1,15,100,3,z0xgIKPa,point,0.995022,0
2,30,70,bonds,2021-03-10T23:02:56Z,task1,20,70,3,mGZrahTV,table,0.847032,0.16666666666666669
2,80,20,stocks,2021-03-11T01:23:39Z,task1,25,80,3,VUkSLcju,hopsdist,0.896362,0.33333333333333337
2,0,100,bonds,2021-03-11T03:42:20Z,task1,25,100,3,LDjn6tDW,density,0.995022,0.33333333333333337
2,20,80,bonds,2021-03-11T13:35:13Z,task1,25,80,3,gW5uzQ4f,hops,0.896362,0.33333333333333337
2,100,0,stocks,2021-03-11T15:11:36Z,task1,10,100,3,yxlcnitB,table,0.995022,-0.16666666666666663
2,30,70,bonds,2021-03-11T15:56:52Z,task1,10,70,3,xhHnAIbp,interval,0.847032,-0.16666666666666663
2,100,0,bonds,2021-03-11T20:29:23Z,task1,15,0,3,HnhS8GyD,dotplot,0.501722,0
2,65,35,stocks,2021-03-11T22:17:14Z,task1,25,65,3,lO60PQIr,density,0.8223670000000001,0.33333333333333337
2,5,95,bonds,2021-03-12T00:49:38Z,task1,5,95,3,WvMFR8Sz,barchart,0.9703569999999999,-0.33333333333333337
2,10,90,bonds,2021-03-12T00:50:43Z,task1,25,90,3,U8gqQAF4,dotplot,0.945692,0.33333333333333337
2,80,20,stocks,2021-03-12T01:10:30Z,task1,20,80,3,tQv9j7lp,density,0.896362,0.16666666666666669
2,0,100,bonds,2021-03-12T01:59:50Z,task1,25,100,3,vHA4TRk4,barchart,0.995022,0.33333333333333337
2,98,2,stocks,2021-03-12T02:54:54Z,task1,20,98,3,vezKL4bo,dotplot,0.9851559999999999,0.16666666666666669
2,20,80,bonds,2021-03-12T03:43:40Z,task1,10,80,3,hidDfoT7,point,0.896362,-0.16666666666666663
2,90,10,stocks,2021-03-12T16:09:46Z,task1,25,90,3,dOvKKrKx,hopsdist,0.945692,0.33333333333333337
2,50,50,stocks,2021-03-12T17:12:12Z,task1,25,50,3,5MoR537n,dotplot,0.748372,0.33333333333333337
2,30,70,bonds,2021-03-12T18:11:16Z,task1,5,70,3,9qiVxIhk,density,0.847032,-0.33333333333333337
2,95,5,stocks,2021-03-12T18:29:08Z,task1,10,95,3,2jqguoYh,interval,0.9703569999999999,-0.16666666666666663
2,100,0,stocks,2021-03-12T20:00:37Z,task1,15,100,3,6SBdrLCR,hopsdist,0.995022,0
2,25,75,bonds,2021-03-12T22:32:59Z,task1,25,75,3,qNJkISBa,point,0.8716969999999999,0.33333333333333337
2,100,0,stocks,2021-03-13T00:50:27Z,task1,25,100,3,ffFn1C1O,table,0.995022,0.33333333333333337
2,0,100,bonds,2021-03-13T01:24:29Z,task1,5,100,3,9nvPuyHc,barchart,0.995022,-0.33333333333333337
2,80,20,stocks,2021-03-13T03:54:00Z,task1,25,80,3,HzdeT56F,hopsdist,0.896362,0.33333333333333337
2,80,20,stocks,2021-03-13T03:51:11Z,task1,20,80,3,rxdroOug,interval,0.896362,0.16666666666666669
3,100,0,stocks,2021-03-09T15:35:11Z,task1,5,100,4,ihzwQryH,table,0.995022,-0.33333333333333337
3,100,0,stocks,2021-03-09T16:01:47Z,task1,15,100,4,sZIP7Kj7,barchart,0.995022,0
3,20,80,bonds,2021-03-09T20:49:20Z,task1,25,80,4,nsyZVKPE,hopsdist,0.896362,0.33333333333333337
3,100,0,stocks,2021-03-09T21:10:50Z,task1,15,100,4,SFBRic3a,density,0.995022,0
3,0,100,bonds,2021-03-10T02:32:18Z,task1,10,100,4,z0xgIKPa,point,0.995022,-0.16666666666666663
3,80,20,bonds,2021-03-10T23:03:17Z,task1,10,20,4,mGZrahTV,table,0.600382,-0.16666666666666663
3,20,80,bonds,2021-03-11T01:23:56Z,task1,5,80,4,VUkSLcju,hopsdist,0.896362,-0.33333333333333337
3,0,100,bonds,2021-03-11T03:42:29Z,task1,20,100,4,LDjn6tDW,density,0.995022,0.16666666666666669
3,35,65,bonds,2021-03-11T13:35:44Z,task1,15,65,4,gW5uzQ4f,hops,0.8223670000000001,0
3,100,0,stocks,2021-03-11T15:11:49Z,task1,20,100,4,yxlcnitB,table,0.995022,0.16666666666666669
3,10,90,bonds,2021-03-11T15:57:35Z,task1,20,90,4,xhHnAIbp,interval,0.945692,0.16666666666666669
3,0,100,stocks,2021-03-11T20:29:43Z,task1,25,0,4,HnhS8GyD,dotplot,0.501722,0.33333333333333337
3,30,70,bonds,2021-03-11T22:17:31Z,task1,10,70,4,lO60PQIr,density,0.847032,-0.16666666666666663
3,2,98,bonds,2021-03-12T00:49:48Z,task1,20,98,4,WvMFR8Sz,barchart,0.9851559999999999,0.16666666666666669
3,10,90,bonds,2021-03-12T00:50:56Z,task1,20,90,4,U8gqQAF4,dotplot,0.945692,0.16666666666666669
3,75,25,stocks,2021-03-12T01:10:49Z,task1,10,75,4,tQv9j7lp,density,0.8716969999999999,-0.16666666666666663
3,0,100,bonds,2021-03-12T02:00:06Z,task1,20,100,4,vHA4TRk4,barchart,0.995022,0.16666666666666669
3,20,80,bonds,2021-03-12T02:55:13Z,task1,10,80,4,vezKL4bo,dotplot,0.896362,-0.16666666666666663
3,10,90,bonds,2021-03-12T03:43:53Z,task1,20,90,4,hidDfoT7,point,0.945692,0.16666666666666669
3,0,100,bonds,2021-03-12T16:10:32Z,task1,5,100,4,dOvKKrKx,hopsdist,0.995022,-0.33333333333333337
3,70,30,stocks,2021-03-12T17:12:37Z,task1,20,70,4,5MoR537n,dotplot,0.847032,0.16666666666666669
3,60,40,stocks,2021-03-12T18:11:31Z,task1,20,60,4,9qiVxIhk,density,0.797702,0.16666666666666669
3,0,100,bonds,2021-03-12T18:29:20Z,task1,25,100,4,2jqguoYh,interval,0.995022,0.33333333333333337
3,10,90,stocks,2021-03-12T20:00:45Z,task1,20,10,4,6SBdrLCR,hopsdist,0.551052,0.16666666666666669
3,30,70,bonds,2021-03-12T22:33:12Z,task1,10,70,4,qNJkISBa,point,0.847032,-0.16666666666666663
3,80,20,stocks,2021-03-13T00:51:16Z,task1,15,80,4,ffFn1C1O,table,0.896362,0
3,0,100,bonds,2021-03-13T01:24:35Z,task1,25,100,4,9nvPuyHc,barchart,0.995022,0.33333333333333337
3,30,70,bonds,2021-03-13T03:54:33Z,task1,10,70,4,HzdeT56F,hopsdist,0.847032,-0.16666666666666663
3,30,70,bonds,2021-03-13T03:51:19Z,task1,25,70,4,rxdroOug,interval,0.847032,0.33333333333333337
4,0,100,bonds,2021-03-09T15:35:18Z,task1,25,100,5,ihzwQryH,table,0.995022,0.33333333333333337
4,100,0,stocks,2021-03-09T16:02:04Z,task1,5,100,5,sZIP7Kj7,barchart,0.995022,-0.33333333333333337
4,20,80,bonds,2021-03-09T20:49:30Z,task1,15,80,5,nsyZVKPE,hopsdist,0.896362,0
4,100,0,stocks,2021-03-09T21:11:42Z,task1,20,100,5,SFBRic3a,density,0.995022,0.16666666666666669
4,0,100,bonds,2021-03-10T02:32:23Z,task1,5,100,5,z0xgIKPa,point,0.995022,-0.33333333333333337
4,50,50,stocks,2021-03-10T23:03:43Z,task1,5,50,5,mGZrahTV,table,0.748372,-0.33333333333333337
4,20,80,bonds,2021-03-11T01:24:03Z,task1,10,80,5,VUkSLcju,hopsdist,0.896362,-0.16666666666666663
4,10,90,bonds,2021-03-11T03:43:07Z,task1,10,90,5,LDjn6tDW,density,0.945692,-0.16666666666666663
4,25,75,stocks,2021-03-11T13:36:10Z,task1,5,25,5,gW5uzQ4f,hops,0.625047,-0.33333333333333337
4,0,100,bonds,2021-03-11T15:11:56Z,task1,15,100,5,yxlcnitB,table,0.995022,0
4,100,0,stocks,2021-03-11T15:57:46Z,task1,15,100,5,xhHnAIbp,interval,0.995022,0
4,100,0,bonds,2021-03-11T20:30:02Z,task1,20,0,5,HnhS8GyD,dotplot,0.501722,0.16666666666666669
4,30,70,bonds,2021-03-11T22:19:50Z,task1,15,70,5,lO60PQIr,density,0.847032,0
4,100,0,stocks,2021-03-12T00:49:57Z,task1,15,100,5,WvMFR8Sz,barchart,0.995022,0
4,20,80,bonds,2021-03-12T00:51:15Z,task1,10,80,5,U8gqQAF4,dotplot,0.896362,-0.16666666666666663
4,85,15,stocks,2021-03-12T01:10:58Z,task1,15,85,5,tQv9j7lp,density,0.921027,0
4,0,100,bonds,2021-03-12T02:00:16Z,task1,15,100,5,vHA4TRk4,barchart,0.995022,0
4,50,50,stocks,2021-03-12T02:55:28Z,task1,5,50,5,vezKL4bo,dotplot,0.748372,-0.33333333333333337
4,0,100,bonds,2021-03-12T03:44:05Z,task1,15,100,5,hidDfoT7,point,0.995022,0
4,100,0,stocks,2021-03-12T16:10:53Z,task1,15,100,5,dOvKKrKx,hopsdist,0.995022,0
4,100,0,bonds,2021-03-12T17:12:50Z,task1,10,0,5,5MoR537n,dotplot,0.501722,-0.16666666666666663
4,80,20,stocks,2021-03-12T18:11:43Z,task1,15,80,5,9qiVxIhk,density,0.896362,0
4,100,0,stocks,2021-03-12T18:29:53Z,task1,15,100,5,2jqguoYh,interval,0.995022,0
4,10,90,stocks,2021-03-12T20:00:52Z,task1,10,10,5,6SBdrLCR,hopsdist,0.551052,-0.16666666666666663
4,70,30,stocks,2021-03-12T22:33:42Z,task1,5,70,5,qNJkISBa,point,0.847032,-0.33333333333333337
4,0,100,bonds,2021-03-13T00:51:31Z,task1,20,100,5,ffFn1C1O,table,0.995022,0.16666666666666669
4,0,100,bonds,2021-03-13T01:24:43Z,task1,10,100,5,9nvPuyHc,barchart,0.995022,-0.16666666666666663
4,30,70,bonds,2021-03-13T03:54:33Z,task1,15,70,5,HzdeT56F,hopsdist,0.847032,0
4,20,80,bonds,2021-03-13T03:51:27Z,task1,15,80,5,rxdroOug,interval,0.896362,0
5,0,100,bonds,2021-03-09T15:35:25Z,task1,10,100,6,ihzwQryH,table,0.995022,-0.16666666666666663
5,10,90,bonds,2021-03-09T16:03:01Z,task1,25,90,6,sZIP7Kj7,barchart,0.945692,0.33333333333333337
5,40,60,stocks,2021-03-09T20:49:40Z,task1,10,40,6,nsyZVKPE,hopsdist,0.6990419999999999,-0.16666666666666663
5,80,20,stocks,2021-03-09T21:11:51Z,task1,5,80,6,SFBRic3a,density,0.896362,-0.33333333333333337
5,0,100,bonds,2021-03-10T02:32:26Z,task1,25,100,6,z0xgIKPa,point,0.995022,0.33333333333333337
5,100,0,stocks,2021-03-10T23:03:58Z,task1,25,100,6,mGZrahTV,table,0.995022,0.33333333333333337
5,10,90,bonds,2021-03-11T01:24:11Z,task1,15,90,6,VUkSLcju,hopsdist,0.945692,0
5,90,10,stocks,2021-03-11T03:43:19Z,task1,15,90,6,LDjn6tDW,density,0.945692,0
5,50,50,stocks,2021-03-11T13:36:28Z,task1,10,50,6,gW5uzQ4f,hops,0.748372,-0.16666666666666663
5,100,0,stocks,2021-03-11T15:12:02Z,task1,5,100,6,yxlcnitB,table,0.995022,-0.33333333333333337
5,70,30,bonds,2021-03-11T15:59:39Z,task1,25,30,6,xhHnAIbp,interval,0.6497120000000001,0.33333333333333337
5,100,0,bonds,2021-03-11T20:30:35Z,task1,5,0,6,HnhS8GyD,dotplot,0.501722,-0.33333333333333337
5,75,25,stocks,2021-03-11T22:20:00Z,task1,20,75,6,lO60PQIr,density,0.8716969999999999,0.16666666666666669
5,10,90,bonds,2021-03-12T00:50:14Z,task1,10,90,6,WvMFR8Sz,barchart,0.945692,-0.16666666666666663
5,0,100,bonds,2021-03-12T00:51:27Z,task1,15,100,6,U8gqQAF4,dotplot,0.995022,0
5,90,10,stocks,2021-03-12T01:11:03Z,task1,5,90,6,tQv9j7lp,density,0.945692,-0.33333333333333337
5,100,0,stocks,2021-03-12T02:00:52Z,task1,10,100,6,vHA4TRk4,barchart,0.995022,-0.16666666666666663
5,4,96,bonds,2021-03-12T02:55:42Z,task1,25,96,6,vezKL4bo,dotplot,0.97529,0.33333333333333337
5,100,0,stocks,2021-03-12T03:44:31Z,task1,25,100,6,hidDfoT7,point,0.995022,0.33333333333333337
5,0,100,bonds,2021-03-12T16:11:07Z,task1,20,100,6,dOvKKrKx,hopsdist,0.995022,0.16666666666666669
5,70,30,stocks,2021-03-12T17:13:01Z,task1,5,70,6,5MoR537n,dotplot,0.847032,-0.33333333333333337
5,10,90,bonds,2021-03-12T18:11:51Z,task1,25,90,6,9qiVxIhk,density,0.945692,0.33333333333333337
5,100,0,bonds,2021-03-12T18:30:07Z,task1,5,0,6,2jqguoYh,interval,0.501722,-0.33333333333333337
5,90,10,bonds,2021-03-12T20:01:01Z,task1,25,10,6,6SBdrLCR,hopsdist,0.551052,0.33333333333333337
5,20,80,bonds,2021-03-12T22:33:52Z,task1,20,80,6,qNJkISBa,point,0.896362,0.16666666666666669
5,70,30,stocks,2021-03-13T00:51:42Z,task1,5,70,6,ffFn1C1O,table,0.847032,-0.33333333333333337
5,100,0,stocks,2021-03-13T01:24:48Z,task1,20,100,6,9nvPuyHc,barchart,0.995022,0.16666666666666669
5,90,10,stocks,2021-03-13T03:54:40Z,task1,20,90,6,HzdeT56F,hopsdist,0.945692,0.16666666666666669
5,20,80,bonds,2021-03-13T03:51:34Z,task1,10,80,6,rxdroOug,interval,0.896362,-0.16666666666666663
6,100,0,stocks,2021-03-09T15:35:31Z,task1,20,100,7,ihzwQryH,table,0.995022,0.16666666666666669
6,5,95,bonds,2021-03-09T16:03:13Z,task1,10,95,7,sZIP7Kj7,barchart,0.9703569999999999,-0.16666666666666663
6,65,35,stocks,2021-03-09T20:49:58Z,task1,5,65,7,nsyZVKPE,hopsdist,0.8223670000000001,-0.33333333333333337
6,10,90,bonds,2021-03-09T21:12:10Z,task1,10,90,7,SFBRic3a,density,0.945692,-0.16666666666666663
6,0,100,bonds,2021-03-10T02:32:30Z,task1,20,100,7,z0xgIKPa,point,0.995022,0.16666666666666669
6,100,0,stocks,2021-03-10T23:04:12Z,task1,15,100,7,mGZrahTV,table,0.995022,0
6,80,20,stocks,2021-03-11T01:24:44Z,task1,20,80,7,VUkSLcju,hopsdist,0.896362,0.16666666666666669
6,70,30,stocks,2021-03-11T03:43:35Z,task1,5,70,7,LDjn6tDW,density,0.847032,-0.33333333333333337
6,25,75,bonds,2021-03-11T13:36:38Z,task1,20,75,7,gW5uzQ4f,hops,0.8716969999999999,0.16666666666666669
6,100,0,stocks,2021-03-11T15:12:08Z,task1,25,100,7,yxlcnitB,table,0.995022,0.33333333333333337
6,90,10,bonds,2021-03-11T15:59:50Z,task1,5,10,7,xhHnAIbp,interval,0.551052,-0.33333333333333337
6,100,0,bonds,2021-03-11T20:30:46Z,task1,10,0,7,HnhS8GyD,dotplot,0.501722,-0.16666666666666663
6,85,15,stocks,2021-03-11T22:20:20Z,task1,5,85,7,lO60PQIr,density,0.921027,-0.33333333333333337
6,100,0,stocks,2021-03-12T00:50:30Z,task1,25,100,7,WvMFR8Sz,barchart,0.995022,0.33333333333333337
6,5,95,bonds,2021-03-12T00:51:33Z,task1,5,95,7,U8gqQAF4,dotplot,0.9703569999999999,-0.33333333333333337
6,80,20,stocks,2021-03-12T01:11:19Z,task1,25,80,7,tQv9j7lp,density,0.896362,0.33333333333333337
6,0,100,stocks,2021-03-12T02:01:12Z,task1,5,0,7,vHA4TRk4,barchart,0.501722,-0.33333333333333337
6,10,90,bonds,2021-03-12T02:55:59Z,task1,15,90,7,vezKL4bo,dotplot,0.945692,0
6,80,20,stocks,2021-03-12T03:44:43Z,task1,5,80,7,hidDfoT7,point,0.896362,-0.33333333333333337
6,0,100,bonds,2021-03-12T16:12:04Z,task1,10,100,7,dOvKKrKx,hopsdist,0.995022,-0.16666666666666663
6,100,0,stocks,2021-03-12T17:13:12Z,task1,15,100,7,5MoR537n,dotplot,0.995022,0
6,90,10,stocks,2021-03-12T18:12:04Z,task1,10,90,7,9qiVxIhk,density,0.945692,-0.16666666666666663
6,0,100,bonds,2021-03-12T18:30:17Z,task1,20,100,7,2jqguoYh,interval,0.995022,0.16666666666666669
6,10,90,stocks,2021-03-12T20:01:12Z,task1,5,10,7,6SBdrLCR,hopsdist,0.551052,-0.33333333333333337
6,0,100,bonds,2021-03-12T22:34:17Z,task1,15,100,7,qNJkISBa,point,0.995022,0
6,70,30,stocks,2021-03-13T00:52:01Z,task1,10,70,7,ffFn1C1O,table,0.847032,-0.16666666666666663
6,0,100,bonds,2021-03-13T01:24:53Z,task1,15,100,7,9nvPuyHc,barchart,0.995022,0
6,70,30,stocks,2021-03-13T03:55:17Z,task1,5,70,7,HzdeT56F,hopsdist,0.847032,-0.33333333333333337
6,20,80,bonds,2021-03-13T03:51:42Z,task1,5,80,7,rxdroOug,interval,0.896362,-0.33333333333333337
