usertoken,treatment,mid1,mid2
HYZzEL2u,dotplot,"I looked at the charts that hovered over the best possible result to see the percentage that the fund could possibly increase. I also looked at the possibility of the fund losing money, and how much it could possibly lose. I allocated most of my money into the more conservative fund with the least likely chance of losing money, but added some of it to the fund that could grow substantially.","I look at the possible rate of return over the years, and divided amongst the funds in a way that some of it was conservative and safe, but also invested some of it into riskier options that had a higher level of return rate possible. I looked at the charts to determine which fund was more conservative, and which one offered the better chance of a large increase."
VdYpbJUh,dotplot,I used the charts to verify how high a percent I could potentially gain.  I chose the more volatile investments based off of the charts.,I used the charts to verify which investment had the possibility of higher returns.  I used that to choose my investment.
sXf1t2TC,table,I looked for the highest rate of return visually and took note of dips to make sure they were made up for in the long run.,I looked for the highest risk/reward scenario. I went with the largest returns as it is a long-term investment.
a3sNCAlt,point,i selected the one that had higher growth. ,i selected the one with higher expected value.
WeLeVmdO,hops,I used the charts to see distribution of and best rate of return of each by looking at the bars on the barchart.,I use the bars to look at the range and choose which one had a range that I found the most favorable.
651zZLZY,dotplot,I looked at the highest possible return in each fund and mostly went for the growth fund with higher potential. I didn't go all in on some with high loss expected. ,I looked at the highest possible return at the right of the graphs and also the the lowest possible. I considered the amount of dots in the loss and gains and stayed away from high amount of dots in the negative a little. I looked for high amount of dots in the positive.
tPX21tz0,barchart,"I looked at the maximum possible return for each fund, and at the length of investment period the char was showing.","Same as before, I looked at the graphs and at the gamut of possible outcomes, and chose accordingly."
Wx6qtrFR,density,"yes, i just looked for the biggest possible gain",I looked for the most gain possible
xjaSiYlq,dotplot,"I did, but only when it was in my favor. Otherwise I went with the best guess","if the charts were close together in a high rate of return, I would place most of my investment there."
BdNwuYY3,dotplot,"I looked at both charts and visually tried to guess wich one had less negative outcomes in relation to the other based on the number of bars (outcomes) that provided smaller returns, if one scenario showed significant down-side I would take that in account as well when choosing percentages",I looked at cluttering of points on certain percentage regions to determine what was the highest probable return for each fund
gkKtpet7,table,I allocated my funds mainly on those charts that gives very high returns on investment. ,I allocated my funds mainly on those that give higher percentage of returns.
GbheV3mJ,density,If the investment horizon was short I looked at the initial returns. If the investment horizon was long I looked at at the progression of returns.,I choose to select the allocation based on the probability of higher expected returns given the distribution of outcomes. I also looked at which distribution could cause negative returns.
g88DapTc,hopsdist,I looked at the potential returns and compared them to potential losses between the two funds and tried to create a balance.  I went all in on options that looked better overall.,I looked at the distribution and tried to make a balance that I felt comfortable with.
eMUmMQGE,point,"I used the charts to look at the growth rate over times, as well as the overall progression and trend of growth. I also thought about the level of risk I would be willing to take. ",In this case I best most of my decision on the overall average rate of return of the fund. I did weigh a little on the worst case year and best case year.
B2HV6UdE,density,I looked at the general trends of which bars are higher and decided to go with the fund with the highest bars. I also took into consideration the percentage of negative bars.,I looked the the graphs which made broader peaks instead of pointed ones.
5WKDa2Ef,table,I used them to evaluate performance and distribution of higher returns,Weighed the extremes of the values of rates and how they were distributed.
nJAP5Ncc,barchart,"I calculated the probability on the basis of the flowchart that was shown to me in this task. I also took into consideration about the market risks, how much investment period and year returns are mentioned and calculated my profits regarding it.",I calculated the probability and the market risks as well as evaluated how much return I'll be getting during different evaluation periods.
49IVMYWn,point,i used them to study how to minimize loss and take a neutral position by hedging risk of one against other,i used it to hedge the risk against other
IsnM1aVU,hops,"I looked at the overall curves of the data to get an initial impression. Then I looked at the high points and low points, and thought about the likelihood of having losses relative to the number of overall possibilities. Then I considered timeframe, and generally went with higher risks over longer timeframes.","I tried to get a sense of the general trends, the max and minimum returns, and frequency of losses. I considered overall timeframe, making more conservative choices when the investing horizon was shorter."
DxOS1qMI,table,I went with slow growth for most of the options. I didn't really want fast growth cause it could drop just as fast.,I tended to go with slow growth again. Better if it didn't start out in the negatives cause it could quickly go back in the red zone.
FV3btokM,point,I looked at the charts to identify which fund had higher outcomes with more probability and lower probabilities of more riskier outcomes by looking at the far right and far left sides of the chart and then I picked the fund that I believed to be more profitable over a 30 year period.,"I looked at the average return for each fund and simply picked the fund that had the higher average return, without giving any consideration to the range of possible returns."
LxXewOKB,dotplot,"I tend to avoid risk, I tend to invest more in the less risky fund. I would look at the potential loss of both funds. ","I focus on if the fund would lose money, and I would tend to invest more on the reliable and safer option. "
oUs9Mfce,dotplot,"the longer the time frame in the charts, the more I expected the next 30 years to mimic it and less risky to pick the one with better performance chart.",Harder to read these charts; tried to use same method as round 1; tilted toward the chart with more dots in positive territory
f4xt2odB,point,I compared bar charts of both funds to understand which fund provide best possible rate of return of the fund over a particular period of time. I then allocated investment between two funds based on that information.,"I compared both charts 95% of possible rate of return( light green), 65% of possible rate of return( dark green) and average rate of return. Then decided to allocate investment to both funds to maximize return by considering possible rate of return."
7VJnbhrH,hopsdist,"charts looked for best overall return, but kept an small amount in other option",chart tried to gauge average return over time
RGkwBCD7,hops,look at it and see if I can maximize my return,maximize returns 
xIEzpaRA,interval,I chose the ones that had exponential growth.,The one that provided the best return.
NYIo95xY,table,"I looked at the highest maximum, the lowest maximum, and the averages. In a real world scenario, I would choose higher risk, higher return, as I have years to bounce back from a loss. ",I chose the option with the most highest % returns. I would use this strategy in real life fund investing.
GkcZEM1X,table,I looked for higher bars towards the end of the given time period. To determine between the two I looked to see which fund had higher returns towards the end of the period.,I scanned the cells showing possible return. Particularly the lowest and highest value cells. Compared and decided.
qrOdbxJw,dotplot,The main visual properties I used was the best and worst case scenarios. I tried to go with the options that provided the least amount of risk in the case of a bad scenario. I also did take a tad bit of risk every now and then if the best case scenario seemed extremely worthwhile in comparison to the downside.,"The main visual properties I looked for was the best/worst case scenarios. If a chart seemed to risky and could do into the negatives, I most likely did not think that option was worst the risk."
biD53yQS,dotplot,I looked at the average return over the possible 30 years and took the higher average.,"I found it a lot harder to understand the average returns usinf the dot method of graphs, it was less intuitive to see the average returns. I looked a lot more on the numbers. "
FCqfkdPd,dotplot,I looked for good tradeoffs between possible losses versus higher rates of return,"Same as the other study, weighted losses versus higher returns"
5DZhfrMX,interval,"First I tried to see if one chart was clearly the better option.  This would be if the chart had much more options for higher growth which would out weight the options for lower growth.  If there was not a clear option, I tried to diversify with mostly for growth potential and some stability.",I tried to see which chart had the larger opportunity for growth in the dark green zone.  I tried to focus more on the dark green zone than the light green zone.
TLjfV7aD,hopsdist,I looked at each lowest and highest interest rates and made a determination by which one made the greatest gain over the period noted. Those with a much higher gain got a much higher allocation. ,Whichever fund showed the most maximized rate of return got the highest allocation.
CiXTsREp,density,I tried to read the future and choose the best that can be more beneficial,Based on the time and the period i made mmy decision
IhtyQEo6,density,I looked at the  best rate of each funds before making decsions,I looked at the movements in the curves and used it to forecast my possible retuens
DONO5fOK,point,"I looked at the range of returns, specifically at the lowest and highest return. I looked at volatility and time frame and erred towards investing more in the less volatile option (for the most part) if I only had a short time frame mapped. For longer time frames, I looked at what produced the best returns over time. ","I tried to invest m ore in the ones with the best average right of return if the visualization was for a longer time period. If it was for a shorter time period, I erred towards investing more in the ones with less volatility."
wk2kZpQp,barchart,"I tried to select the highest returns while minimizing the possible losses. I looked for the fund with the larger percentages overall, then looked to see if they had more losses. All else being equal, I tried to allot most (or all) of my money to funds that seemed to have higher overall returns at each place on the graph.","I tried to minimize potential losses, so I never allocated all my money to a fund that had any record of having been in the red. I tried to allot more money to funds that appeared to perform better but placed some in ""safer"" choices to hedge my bets."
2rMOynRc,interval,I used the charts to estimate the average level of the bars and the slope of the bars.,I used the charts to estimate the average profit and the standard deviation of the profit.
RJ0yK39m,hopsdist,"I looked to see which chart had the overall higher expected value. If one chart had a consistently higher rate of return then it was easy, and I chose that one. If the charts were similar, or one was more risky and the other more secure, then I tried to balance between the two to some extent. ","I tried to determine which chart had more possible rates of return that were higher. If one chart had all the possible rates in one area, and the other had rates more spread out, then I divided the allocation between them to some extent."
aLzBpinz,barchart,i just calculated Based on given charts...,Given Bar charts..
LvaztNSx,interval,Mostly saw them from left to right deciding how much could be lost in a short to long timeframe.,"Mostly I saw the most likely scenario and compared it with the possibilities of the other fund, if felt better even with a higher range, I took it. "
Rxuytkvq,barchart,if it had to much risk i just put less % in it.,"the same thing, if the risk is to much i put less % in it."
yTxbkwCa,interval,"I simply looked at the range of possible outcomes, and decided how much risk I was willing to take.  Since this was a long-term portfolio, I generally considered more risk to be acceptable, since there would be more good years than bad, even with the highly-variable stocks","Due to their deliberately confusing nature, these charts were so thoroughly useless that I just looked at the minimum and maximum possible returns, and then tried to imagine a better graph in my head, one that would show likely returns over time.  From there, I did exactly what I just told you in the last round, and thought about the long-term portfolio returns over time."
3a63mASS,hopsdist,"I looked at the maximum and minimum returns and observed the variability.  I looked for more of a block of higher returns while balancing variance a slightly.  As far as visual properties of the graphs, I looked at the left and right to see how much the peaks were relative to eachother.","I looked to invest more in the funds that shows the highest possible returns and judge how much of a buffer I would put in the lower, but less varying fund based on the worst-case.  I found these visualizations very helpful, as I could more accurately think of things like, ""what if the bar stopped here on the top and here at the bottom, how would I feel?""."
hnADzc3k,hopsdist,"looked at the expected rate of return for each graph, used the bar graphs to judge the expected gains",i looked at the yellow line to judge the low and high possible rates of return
mxVQAeko,barchart,I looked for what visually seemed to offer the best expected value ,"I looked for what seemed to have the highest expected value, sort of by judging the “area under the curve”, "
azCvgawo,interval,"I looked primarily at the lowest possible return vs. the highest possible return on each chart, I was especially concerned and somewhat uncertain about how a small negative trend at the beginning would affect the investment even though there was ultimately a higher rate of return on one chart vs. the other","I first looked at the median value in the dark green area on each chart and compared the numbers. I also considered the median value of the light green line and compared the numbers. Finally, I considered the ""worst-case scenario"" in each fund, and if one was substantially worse than the other I reduced my investment in that fund even though it may actually be more profitable in the end although with much higher risk."
sAmbOGvp,interval,"I was looking for whichever fund offered the highest return, but if it also had a number of bars of loss or poor return I would also select the fund that was more consistent even if it offered lower maximum values. I would adjust my percentage allocations based on the number of negative returns and the average positive return amount for both.","I checked what the maximum and minimum values of the 95% interval were and then compared the the maximum and minimum values of the 66% interval were. If one chart had a 66% interval with values similar to the 95% of the other I would invest in it substantially more than the other fund even if it had significantly greater chance for return. If, on the other hand, it's 66% was decently lower in value than the 95% or 66% of the other I would invest in each fund to a similar degree, investing slightly more in the one with the chance for higher return. "
jjVRkJbo,hopsdist,I looked for trends and healthy risks.,I wanted to make the most money so I allocated according to how risky the investment in the highest-paying option was
JSjHZMdQ,barchart,"I tried to compare the number of positive and negative returns for each time period and the maximum return between the two funds. If there was a pattern of positive growth, I would invest more in that fund. If there was more negative or flat growth, I put less into the fund.","As before, I looked at the periods of positive growth vs negative growth between the two funds. Then I looked at the highest positive and negative growth for the funds. I tried to choose the fund with the most positive growth periods and highest overall positive growth."
zjbadj2T,interval,I looked for which charts showed the biggest returns with the least risks of negative returns.,I tried to look at the charts where there was a higher probability of getting the highest return
n6Fb15Be,interval,I put more money into the investment in which I could make the most money.,I put higher percentages in the investments that had higher possible profitability.
LiUSBIbs,hopsdist,I used the charts primarily to look at the percentage yield for the year; and decide from there how much allocation I would put for each fund.,I tried to make sense of the moving yellow bar on the horizontal graph. I honestly was confused by this visualization and made my best guess.
bfKHFfR8,hopsdist,I used them to get an idea of the return-spread over the stipulated period in each case. The highest/lowest return for a fund(from the chart) did influence my decision. ,"I paid attention to the region of the possible return (positive/negative), the orange line tended to flash more in each case. "
qw7Y3WE6,hopsdist,"I was based on the stipulated return and the growing of what was proposed. The more risks, the less I bet.",the rate of return is safer is the best option
X4DUFLzy,barchart,"I looked at the amount of years that were positive and the maximum returns per year for each side.  If one side had more positive returns and a higher potential gain, I went with that option more than the other.",I looked at the amount of years of positive returns and how high a % the returns were to see which option I thought had higher ROI.
ERf7L7VX,hopsdist,"i tried to pick the one with the highest returns but, without a potential loss",i tried to pick the one that the lines did not go into the negative return side
5rThdkyC,interval,i picked what i thought would be the best chance for me to get the most amount without putting all my eggs into one basked just in case i was wrong. i averaged out the two charts and which ever looked best i put the most money into,i averaged out the 2 charts and whatever had the best chance to make me the most money within the green area i would invest most of my money into it
sfqKoI60,table,"I saw whether there are negative bars. If yes, how many and and how long. I tried to imagine the average of an all positive chart and compare that average with other chart.",I checked the highest and lowest return value of each chart and compared them to make decision. Middle ones I ignored.
irBodiNR,density,I USE MY FINANCIAL-MAKING FOR RETIREMENT STUDY.,"I will decide how to allocate your investment between two funds as a percentage from 0% to 100%.

MY goal is to maximize your expected return for thirty (30) years when you plan to retire.
"
vY1JF5yT,barchart,"I looked at the range of outcomes and tried to see what would give the best 30 year return on average, estimating based on the periods shown.  It's really hard to estimate so I did the best I could with the information available.  I tried to avoid negative returns since those can be hard to recover from (i.e. it takes a 200% gain to cancel out a 50% loss and so on).  I also looked at the best possible outcome on the right side of the graph, especially if all the outcomes were in positive territory.",I looked at the range of outcomes and tried to maximize returns over 30 years.  I tried to avoid significant negative returns when possible.  I looked at the right-most (best) outcome as well and took it into account.  Overall I tried to estimate the range of outcomes and make the best estimate possible with the limited information available.
QA7eaZ58,interval,I make decision based on higher returns value ,Use color visual property i choose high return
5LdZf9d2,density,I looked at both charts and looked at the chance that each chart would provide a negative return and compared that to the chance of a positive return.  I also looked at how big the possible returns were on each chart.  I noticed it was often the case that one chart would have a relatively low but safe return while the other chart would have higher returns but also a chance for negative return.  If the chance for a negative return was low then I would put most of my money in the one that had a chance at highest returns. ,I just compared the lines to see which fund had the higher chance to provide higher returns when compared to the chance that the fund would provide a negative return. 
bYY2jRXC,table,"The best result is obviously the return at the end of the lifetime. As the amount is compounded, it is important to get the returns based on the higher return rate. The later stages have a higher increase and I focused on those funds that have a higher growth at the end.",I estimated the amount of growth on average by comparing the values at a glance. I didn't do any math but made it more as a ball park.
6hYtvkUt,interval,i make based on the chat report if the chat is increase i am increase the value the decrease the percentage,i am keep mind the year then allocate the fund c and based percentage of fund d
hFWAcYms,hops,Got the notes from charts,None
AzFffxWV,table,Whichever chart was higher I put more into. But whichever also had a low side I invested less just in case.,"I don't totally understand what I was looking at, so most of my answers were guesses."
CTij7KI0,density,It's very easy.,It's very easy.
3Av6mKCU,table,the nice task ,the nice task fund organasastion
giqrEsxa,interval,Its pointed the arow,Its very easy
NoAbJ9SC,density,I used the chart to calculate the average possible outcome of each plan. Each node of the graph gives an idea to predict the average outcome of each of the investment plan. The graph gives you an idea about how risky a plan is by Hovering through the nodes of the graph.,The Lines helped to calculate the average outcome in years. The Ups and downs of the line give an idea about the outcome of the plan.
YGmVXctb,hops,"If you have data you want to visualize, make sure you use the right charts. While your data might work with multiple chart types, it’s up to you to select the one that ensures your message is clear and accurate. Remember, data is only valuable if you know how to visualize it and give context","Charts are used in situations where a simple table won't adequately demonstrate important relationships or patterns between data points. When making your chart, think about the specific information that you want your data to support, or the outcome that you want to achieve"
YzzaZbQb,table,"The chart acted as a tool to provide or help us take the investment decision. The positive and negative rate of return both were taken into account and calculated. Based on the calculation, a hypothetical figures were ascertained and then the computation took place. Based on that computation, the percentage was determined.",The chart acted as a tool or medium to ascertain the percentage that needs to be computed. The initial negative return and then the positive return helped us determine which investment option is good and would be allocated with higher percentage.
1CxbYDi0,hopsdist,Value of the chart.Which chart have high value,Depends upon the value of yellow line
VrORzmC3,density,"analize the chart and put my money on the the most secure highest return, in case of low risk i splitted the money in 80 20","same as before, i tried to put money on the most secure graphic, for example, i put money where the return is highest, but based on the percentage of risk i put a little part where is more secure"
Ke6AO54Z,table,"First, I visualized the plans with the highest risk of loss by looking at the negative part of the graph, and tried to avoid them as much as possible. Then I tried to identify the biggest bar to the positive area to decide the biggest profit opportunity. Then I tried to identify the frequency of occurrences. Then cross this information to try to find the best risk x profit. I also used a little of my personal preference in never putting all the money in just 1 investment, always trying to diversify.","The same strategy as the previous item, try to avoid plans with a greater possibility of loss, ie too much negative numbers. Tried to find a higher frequency or quantity of positive values. And look for the highest rate of return, ie the highest positive value. Cross this information and try to find the best risk x profit. Still tried to diversify de investments."
pfuRg4QJ,barchart,"I used the chats to see the expected returns for the funds, and also tried to more so allocate my money into the less risky fund.","I used the charts to gather info on their interest returned, also tried to sift through which of the funds had the highest average return for that period."
aR6ZAxSB,barchart,"I looked to see the % of gain versus % of loss, then decided how to split the money depending on those percentages.","I used them the same way as round 1. Decided which fund had better % overall, how many years, then split my % depending on those numbers."
FvkXyNfJ,point,"I noted the charts with losses, and evaluated the potential loss versus potential gains. I would also put a smaller percentage of the investment in the smaller gaining fund that would have no potential loss, or smaller potential losses. I looked at the time periods of the funds, as one year is not a good time frame to judge by. ","I looked at the potential gains and losses much like last time. I did note the average returns on these charts, and again, the period of time that they covered. "
XWGQKCYK,table,to see the consistency on the funds,"the graph was better, the table i tried to see the consistency "
o0vmJ33w,table,"I looked at the minimum and maximum and the likelihood of a negative return, which I tried to avoid as much as possible. Mostly just compared what the mean return of the 2 funds looked like.",bit tougher to visualize than the charts. Paid a bit more attention to each individual number though and tried to see which fund had the higher rate of return in most positions compared to the other fund.
dn0ceftL,interval,I used the charts to see which fund had the higher rate of return. I also saw which one had higher chances of loss.,I used them to see what the likely return would be to see where and how I should invest
FlkpZA5D,interval,In the safest investment funds I put a higher percentage.,I looked at investment funds with greater security of profit and put a percentage of them in them.
BSl2bHCH,barchart,I averaged the returns to find out the best possible fund.,I compared to see which gave the best returns.
diRsvrSp,point,"Selected the one that looked like it had a higher expected return, the one with more higher bars and not many bar with losses and not great impact losses. ",I went for the higher EV.
jWrAFb7o,density,i tended to select the one with the highest return although i also slightly tried to diversify my investment,i observed which one had the highest value along the right section (higher return) but also diversified a little to reduce the risk
73pjFxSt,point,I looked at the returns and tried to figure out which gave the best returns.  Higher returns had higher bars and/or more positive bars.,I looked at the average return dot.  I put all money into the fund with the higher return.
nP3o6Xld,point,I looked to see which had the best return. I also looked at negative returns. I tended to stay with the option that had little or no negative returns.,I wanted to lessen the chance that I would lose money so I tried to put some into both the safe and riskier options. The biggest factor was how far the max and min went.
ulloPKoy,density,"I based it on risk. If a fund had a high likelihood of a negative return, I allocated less money to that fund. ","I used the same process as before. If there was a higher area under the line that would produce a negative return, I allocated less money to that fund."
jmulOEyq,density,I looked out for which investment on the chart will give the highest return and allocated a larger percentage of my money to it,I looked out for which chart of investment that will give the highest return over a longer period of time depicted by the greater peak points on each chart
L81uYnFP,point,"I use the charts to determine what were my averages, lows, and highs.  I then compared these to the length of time I was investing to determine how long I had to weather potential downturns to make up my investment.",I used the charts to determine where I would expect to be on average and what my potential downsides/upsides were.  I then used these representations to determine whether it made sense to be more risky depending on the length of time for my investments to grow.
